days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
125	0.981690	0.008665	0.001196	0.000241	0.000505	0.000479	0.000022	0.007201	0.000022
126	0.980661	0.009152	0.001259	0.000254	0.000536	0.000505	0.000023	0.007612	0.000025
127	0.979578	0.009660	0.001330	0.000268	0.000564	0.000531	0.000024	0.008045	0.000030
128	0.978442	0.010188	0.001406	0.000283	0.000595	0.000558	0.000026	0.008502	0.000036
129	0.977244	0.010748	0.001480	0.000300	0.000631	0.000588	0.000027	0.008983	0.000042
130	0.975975	0.011350	0.001558	0.000318	0.000660	0.000616	0.000029	0.009494	0.000052
131	0.974646	0.011972	0.001646	0.000330	0.000699	0.000644	0.000030	0.010033	0.000064
132	0.973258	0.012619	0.001737	0.000353	0.000734	0.000671	0.000031	0.010597	0.000080
133	0.971797	0.013307	0.001833	0.000370	0.000775	0.000693	0.000033	0.011193	0.000105
134	0.970267	0.014027	0.001931	0.000391	0.000819	0.000713	0.000034	0.011818	0.000136
135	0.968681	0.014767	0.002038	0.000412	0.000861	0.000731	0.000035	0.012476	0.000177
136	0.967019	0.015535	0.002149	0.000435	0.000910	0.000747	0.000037	0.013168	0.000221
137	0.965274	0.016353	0.002252	0.000461	0.000963	0.000762	0.000038	0.013897	0.000271
138	0.963465	0.017185	0.002377	0.000481	0.001011	0.000774	0.000039	0.014669	0.000333
139	0.961568	0.018055	0.002502	0.000508	0.001066	0.000788	0.000041	0.015473	0.000397
140	0.959581	0.018970	0.002632	0.000536	0.001119	0.000799	0.000042	0.016322	0.000469
141	0.957520	0.019896	0.002775	0.000566	0.001177	0.000807	0.000043	0.017216	0.000551
142	0.955356	0.020880	0.002901	0.000598	0.001247	0.000818	0.000044	0.018157	0.000636
143	0.953101	0.021901	0.003040	0.000626	0.001313	0.000828	0.000045	0.019146	0.000731
144	0.950763	0.022941	0.003195	0.000655	0.001378	0.000836	0.000046	0.020185	0.000837
145	0.948317	0.024036	0.003347	0.000694	0.001444	0.000842	0.000048	0.021273	0.000953
146	0.945780	0.025155	0.003512	0.000724	0.001517	0.000845	0.000049	0.022417	0.001078
147	0.943132	0.026331	0.003675	0.000760	0.001595	0.000846	0.000050	0.023611	0.001215
148	0.940374	0.027542	0.003851	0.000794	0.001677	0.000848	0.000051	0.024863	0.001360
149	0.937517	0.028777	0.004033	0.000837	0.001763	0.000851	0.000052	0.026171	0.001515
150	0.934539	0.030058	0.004221	0.000878	0.001854	0.000851	0.000052	0.027547	0.001685
151	0.931453	0.031386	0.004402	0.000923	0.001940	0.000855	0.000053	0.028987	0.001867
152	0.928247	0.032761	0.004591	0.000967	0.002027	0.000856	0.000054	0.030497	0.002062
153	0.924918	0.034169	0.004796	0.001008	0.002119	0.000856	0.000055	0.032079	0.002266
154	0.921445	0.035643	0.004995	0.001057	0.002221	0.000859	0.000055	0.033725	0.002477
155	0.917876	0.037118	0.005220	0.001103	0.002316	0.000860	0.000057	0.035451	0.002707
156	0.914167	0.038649	0.005433	0.001156	0.002428	0.000863	0.000057	0.037246	0.002944
157	0.910334	0.040215	0.005660	0.001202	0.002534	0.000862	0.000058	0.039136	0.003198
158	0.906373	0.041825	0.005885	0.001259	0.002643	0.000864	0.000058	0.041094	0.003467
159	0.902269	0.043478	0.006132	0.001315	0.002746	0.000865	0.000058	0.043138	0.003755
160	0.898015	0.045187	0.006367	0.001364	0.002879	0.000867	0.000059	0.045261	0.004054
161	0.893631	0.046923	0.006624	0.001418	0.002998	0.000866	0.000060	0.047480	0.004375
162	0.889095	0.048719	0.006880	0.001478	0.003113	0.000866	0.000059	0.049788	0.004713
163	0.884410	0.050556	0.007142	0.001535	0.003247	0.000866	0.000059	0.052184	0.005063
164	0.879588	0.052414	0.007422	0.001600	0.003369	0.000864	0.000060	0.054684	0.005428
165	0.874609	0.054312	0.007708	0.001668	0.003503	0.000865	0.000060	0.057275	0.005810
166	0.869480	0.056243	0.007992	0.001734	0.003648	0.000864	0.000060	0.059980	0.006213
167	0.864196	0.058224	0.008266	0.001803	0.003795	0.000864	0.000060	0.062793	0.006637
168	0.858774	0.060222	0.008554	0.001872	0.003938	0.000865	0.000060	0.065716	0.007075
169	0.853194	0.062265	0.008861	0.001933	0.004076	0.000863	0.000061	0.068747	0.007539
170	0.847468	0.064338	0.009150	0.002013	0.004230	0.000863	0.000061	0.071878	0.008021
171	0.841595	0.066425	0.009466	0.002077	0.004383	0.000863	0.000061	0.075129	0.008523
172	0.835564	0.068530	0.009796	0.002157	0.004537	0.000864	0.000061	0.078490	0.009050
173	0.829388	0.070664	0.010108	0.002229	0.004712	0.000864	0.000061	0.081975	0.009596
174	0.823054	0.072829	0.010422	0.002306	0.004874	0.000864	0.000061	0.085589	0.010167
175	0.816594	0.075000	0.010758	0.002378	0.005032	0.000863	0.000061	0.089316	0.010768
176	0.809979	0.077198	0.011062	0.002467	0.005203	0.000863	0.000061	0.093166	0.011381
177	0.803228	0.079383	0.011407	0.002537	0.005366	0.000863	0.000062	0.097155	0.012020
178	0.796315	0.081590	0.011734	0.002626	0.005553	0.000863	0.000062	0.101258	0.012678
179	0.789277	0.083785	0.012077	0.002708	0.005722	0.000862	0.000062	0.105506	0.013366
180	0.782104	0.085978	0.012408	0.002784	0.005919	0.000862	0.000062	0.109882	0.014077
181	0.774806	0.088180	0.012726	0.002877	0.006088	0.000862	0.000062	0.114400	0.014818
182	0.767387	0.090362	0.013055	0.002956	0.006254	0.000863	0.000062	0.119061	0.015582
183	0.759867	0.092499	0.013387	0.003045	0.006429	0.000860	0.000062	0.123851	0.016368
184	0.752203	0.094655	0.013681	0.003128	0.006631	0.000862	0.000063	0.128778	0.017172
185	0.744426	0.096784	0.013994	0.003218	0.006800	0.000862	0.000062	0.133853	0.018007
186	0.736572	0.098860	0.014303	0.003294	0.006983	0.000862	0.000062	0.139064	0.018868
187	0.728622	0.100902	0.014617	0.003370	0.007166	0.000861	0.000063	0.144400	0.019758
188	0.720582	0.102900	0.014929	0.003458	0.007338	0.000862	0.000063	0.149868	0.020675
189	0.712465	0.104830	0.015248	0.003535	0.007522	0.000862	0.000062	0.155475	0.021614
190	0.704264	0.106733	0.015534	0.003636	0.007697	0.000861	0.000063	0.161214	0.022585
191	0.695979	0.108595	0.015826	0.003709	0.007857	0.000861	0.000063	0.167110	0.023586
192	0.687632	0.110362	0.016130	0.003788	0.008031	0.000861	0.000063	0.173134	0.024599
193	0.679238	0.112085	0.016390	0.003873	0.008213	0.000860	0.000062	0.179279	0.025646
194	0.670807	0.113735	0.016637	0.003945	0.008380	0.000861	0.000062	0.185572	0.026717
195	0.662331	0.115299	0.016906	0.004015	0.008534	0.000861	0.000062	0.191991	0.027807
196	0.653840	0.116770	0.017154	0.004091	0.008707	0.000860	0.000062	0.198516	0.028927
197	0.645324	0.118138	0.017399	0.004168	0.008864	0.000860	0.000062	0.205185	0.030065
198	0.636780	0.119446	0.017615	0.004252	0.009007	0.000857	0.000062	0.211981	0.031229
199	0.628238	0.120661	0.017802	0.004300	0.009168	0.000859	0.000062	0.218909	0.032407
200	0.619706	0.121779	0.017991	0.004365	0.009303	0.000859	0.000063	0.225935	0.033614
201	0.611193	0.122778	0.018180	0.004432	0.009434	0.000859	0.000062	0.233063	0.034844
