0	0.000000	0.000000	0.000000
1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
11	0.000000	0.000000	0.000000
12	0.000000	0.000000	0.000000
13	0.000000	0.000000	0.000000
14	0.000000	0.000000	0.000000
15	0.000000	0.000000	0.000000
16	0.000000	0.000000	0.000000
17	0.000000	0.000000	0.000000
18	0.000000	0.000000	0.000000
19	0.000000	0.000000	0.000000
20	0.000000	0.000000	0.000000
21	0.000000	0.000000	0.000000
22	0.000000	0.000000	0.000000
23	0.000000	0.000000	0.000000
24	0.000001	0.000000	0.000000
25	0.000001	0.000000	0.000000
26	0.000001	0.000001	0.000000
27	0.000001	0.000001	0.000000
28	0.000001	0.000001	0.000000
29	0.000001	0.000001	0.000000
30	0.000002	0.000001	0.000000
31	0.000002	0.000001	0.000000
32	0.000002	0.000001	0.000000
33	0.000002	0.000001	0.000000
34	0.000002	0.000002	0.000000
35	0.000003	0.000002	0.000001
36	0.000003	0.000002	0.000001
37	0.000003	0.000002	0.000001
38	0.000004	0.000002	0.000000
39	0.000004	0.000003	0.000001
40	0.000005	0.000003	0.000001
41	0.000006	0.000003	0.000001
42	0.000007	0.000004	0.000001
43	0.000008	0.000004	0.000001
44	0.000008	0.000005	0.000001
45	0.000009	0.000005	0.000001
46	0.000010	0.000006	0.000002
47	0.000011	0.000007	0.000002
48	0.000012	0.000008	0.000002
49	0.000014	0.000008	0.000003
50	0.000016	0.000009	0.000003
51	0.000018	0.000011	0.000003
52	0.000020	0.000012	0.000004
53	0.000024	0.000014	0.000004
54	0.000027	0.000016	0.000005
55	0.000030	0.000018	0.000005
56	0.000033	0.000021	0.000006
57	0.000037	0.000023	0.000006
58	0.000042	0.000026	0.000007
59	0.000048	0.000029	0.000009
60	0.000054	0.000034	0.000009
61	0.000062	0.000038	0.000011
62	0.000069	0.000042	0.000012
63	0.000078	0.000049	0.000014
64	0.000088	0.000055	0.000015
65	0.000099	0.000062	0.000017
66	0.000114	0.000070	0.000020
67	0.000130	0.000079	0.000022
68	0.000147	0.000088	0.000025
69	0.000166	0.000100	0.000028
70	0.000189	0.000113	0.000032
71	0.000211	0.000128	0.000036
72	0.000237	0.000144	0.000041
73	0.000269	0.000163	0.000046
