New_days	New_S_Mean	New_E_Mean	New_IP_Mean	New_IA_Mean	New_TotalInfectious	New_H_Mean	New_ICU_Mean	New_Recovered_Mean	New_DeadCovid_Mean
99	0.000000	0.003468	0.001236	0.000344	0.000366	0.000067	0.000001	0.000371	0.000000
100	0.000000	0.003829	0.001372	0.000375	0.000403	0.000073	0.000001	0.000412	0.000000
101	0.000011	0.004172	0.001516	0.000411	0.000445	0.000071	0.000001	0.000451	0.000011
102	0.000015	0.004575	0.001663	0.000459	0.000487	0.000077	0.000001	0.000501	0.000015
103	0.000018	0.005023	0.001842	0.000508	0.000543	0.000083	0.000001	0.000552	0.000018
104	0.000031	0.005513	0.002018	0.000560	0.000599	0.000079	0.000001	0.000609	0.000031
105	0.000043	0.006022	0.002226	0.000616	0.000658	0.000079	0.000001	0.000676	0.000043
106	0.000058	0.006568	0.002439	0.000686	0.000726	0.000077	0.000001	0.000744	0.000058
107	0.000086	0.007158	0.002694	0.000750	0.000800	0.000061	0.000001	0.000825	0.000086
108	0.000104	0.007791	0.002950	0.000828	0.000886	0.000058	0.000002	0.000910	0.000104
109	0.000119	0.008469	0.003232	0.000911	0.000978	0.000062	0.000002	0.001004	0.000119
110	0.000158	0.009165	0.003541	0.001000	0.001076	0.000043	0.000002	0.001109	0.000158
111	0.000186	0.009926	0.003868	0.001099	0.001172	0.000036	0.000002	0.001212	0.000186
112	0.000206	0.010714	0.004233	0.001202	0.001295	0.000034	0.000002	0.001340	0.000206
113	0.000239	0.011552	0.004622	0.001316	0.001423	0.000029	0.000002	0.001471	0.000239
114	0.000264	0.012443	0.005024	0.001453	0.001555	0.000031	0.000002	0.001614	0.000264
115	0.000291	0.013339	0.005474	0.001595	0.001700	0.000031	0.000002	0.001775	0.000291
116	0.000319	0.014280	0.005950	0.001742	0.001870	0.000035	0.000003	0.001945	0.000319
117	0.000349	0.015235	0.006451	0.001904	0.002031	0.000036	0.000002	0.002118	0.000349
118	0.000385	0.016233	0.006981	0.002076	0.002235	0.000035	0.000003	0.002333	0.000385
119	0.000428	0.017238	0.007553	0.002268	0.002437	0.000037	0.000003	0.002560	0.000428
120	0.000462	0.018243	0.008149	0.002464	0.002649	0.000039	0.000003	0.002793	0.000462
121	0.000513	0.019262	0.008763	0.002670	0.002877	0.000039	0.000003	0.003046	0.000513
122	0.000561	0.020260	0.009428	0.002892	0.003128	0.000040	0.000003	0.003308	0.000561
123	0.000613	0.021233	0.010107	0.003132	0.003390	0.000040	0.000003	0.003618	0.000613
124	0.000668	0.022187	0.010810	0.003389	0.003664	0.000042	0.000002	0.003934	0.000668
125	0.000730	0.023080	0.011552	0.003672	0.003948	0.000040	0.000003	0.004256	0.000730
126	0.000791	0.023940	0.012323	0.003940	0.004257	0.000043	0.000003	0.004613	0.000791
127	0.000854	0.024780	0.013075	0.004252	0.004581	0.000043	0.000003	0.004980	0.000854
128	0.000925	0.025480	0.013877	0.004561	0.004929	0.000044	0.000003	0.005401	0.000925
129	0.000998	0.026147	0.014630	0.004887	0.005284	0.000045	0.000003	0.005835	0.000998
130	0.001074	0.026678	0.015443	0.005220	0.005642	0.000045	0.000003	0.006266	0.001074
131	0.001155	0.027134	0.016229	0.005559	0.006037	0.000046	0.000003	0.006739	0.001155
132	0.001249	0.027412	0.017037	0.005921	0.006437	0.000047	0.000003	0.007237	0.001249
133	0.001337	0.027620	0.017805	0.006278	0.006837	0.000047	0.000004	0.007752	0.001337
134	0.001425	0.027723	0.018574	0.006656	0.007238	0.000048	0.000003	0.008247	0.001425
135	0.001517	0.027658	0.019318	0.007028	0.007652	0.000047	0.000004	0.008815	0.001517
136	0.001613	0.027449	0.020044	0.007398	0.008083	0.000049	0.000003	0.009363	0.001613
137	0.001719	0.027177	0.020686	0.007783	0.008491	0.000049	0.000003	0.009970	0.001719
138	0.001815	0.026721	0.021347	0.008150	0.008923	0.000049	0.000004	0.010536	0.001815
139	0.001915	0.026145	0.021911	0.008536	0.009344	0.000048	0.000003	0.011118	0.001915
140	0.002010	0.025477	0.022439	0.008903	0.009764	0.000050	0.000004	0.011725	0.002010
141	0.002124	0.024693	0.022908	0.009266	0.010175	0.000050	0.000003	0.012329	0.002124
142	0.002214	0.023798	0.023341	0.009577	0.010585	0.000049	0.000003	0.012956	0.002214
143	0.002325	0.022839	0.023609	0.009931	0.010957	0.000049	0.000003	0.013520	0.002325
144	0.002428	0.021780	0.023901	0.010225	0.011336	0.000049	0.000004	0.014144	0.002428
145	0.002525	0.020661	0.024043	0.010518	0.011652	0.000050	0.000004	0.014708	0.002525
146	0.002613	0.019554	0.024183	0.010770	0.011960	0.000048	0.000003	0.015270	0.002613
147	0.002709	0.018351	0.024212	0.011011	0.012278	0.000048	0.000003	0.015779	0.002709
148	0.002789	0.017203	0.024159	0.011225	0.012537	0.000047	0.000004	0.016291	0.002789
149	0.002877	0.016059	0.024003	0.011412	0.012767	0.000048	0.000003	0.016790	0.002877
150	0.002952	0.014892	0.023798	0.011539	0.012968	0.000046	0.000003	0.017230	0.002952
151	0.003021	0.013802	0.023509	0.011657	0.013131	0.000045	0.000003	0.017661	0.003021
152	0.003096	0.012720	0.023136	0.011734	0.013257	0.000043	0.000003	0.018038	0.003096
153	0.003136	0.011731	0.022717	0.011775	0.013368	0.000044	0.000003	0.018362	0.003136
154	0.003187	0.010767	0.022245	0.011778	0.013407	0.000044	0.000003	0.018604	0.003187
155	0.003223	0.009894	0.021678	0.011749	0.013402	0.000043	0.000003	0.018842	0.003223
156	0.003260	0.009079	0.021039	0.011667	0.013369	0.000043	0.000003	0.019055	0.003260
157	0.003300	0.008308	0.020399	0.011549	0.013308	0.000043	0.000003	0.019155	0.003300
158	0.003294	0.007653	0.019655	0.011446	0.013198	0.000044	0.000003	0.019213	0.003294
159	0.003301	0.007000	0.018936	0.011264	0.013058	0.000043	0.000003	0.019220	0.003301
160	0.003300	0.006436	0.018181	0.011039	0.012903	0.000043	0.000003	0.019191	0.003300
161	0.003292	0.005953	0.017362	0.010819	0.012693	0.000045	0.000003	0.019090	0.003292
162	0.003272	0.005481	0.016566	0.010546	0.012428	0.000045	0.000003	0.018933	0.003272
163	0.003248	0.005082	0.015747	0.010264	0.012161	0.000045	0.000003	0.018745	0.003248
164	0.003213	0.004726	0.014940	0.009956	0.011847	0.000046	0.000003	0.018479	0.003213
165	0.003168	0.004378	0.014102	0.009655	0.011526	0.000047	0.000003	0.018176	0.003168
166	0.003122	0.004117	0.013316	0.009289	0.011163	0.000046	0.000003	0.017820	0.003122
167	0.003061	0.003858	0.012481	0.008924	0.010793	0.000047	0.000003	0.017427	0.003061
168	0.002996	0.003615	0.011725	0.008528	0.010419	0.000046	0.000003	0.017004	0.002996
169	0.002935	0.003398	0.010960	0.008182	0.010022	0.000046	0.000003	0.016539	0.002935
170	0.002852	0.003200	0.010236	0.007790	0.009626	0.000046	0.000004	0.016033	0.002852
171	0.002789	0.003019	0.009532	0.007401	0.009218	0.000047	0.000003	0.015495	0.002789
172	0.002717	0.002849	0.008874	0.007014	0.008810	0.000045	0.000003	0.014955	0.002717
173	0.002629	0.002696	0.008220	0.006622	0.008398	0.000046	0.000003	0.014379	0.002629
174	0.002534	0.002552	0.007643	0.006255	0.007985	0.000047	0.000003	0.013830	0.002534
175	0.002457	0.002406	0.007077	0.005883	0.007591	0.000047	0.000003	0.013206	0.002457
176	0.002367	0.002273	0.006539	0.005518	0.007167	0.000046	0.000003	0.012619	0.002367
177	0.002272	0.002144	0.006064	0.005181	0.006760	0.000046	0.000004	0.012016	0.002272
178	0.002178	0.002028	0.005606	0.004823	0.006386	0.000047	0.000004	0.011432	0.002178
179	0.002080	0.001919	0.005201	0.004510	0.006006	0.000046	0.000003	0.010821	0.002080
180	0.001991	0.001812	0.004827	0.004210	0.005667	0.000046	0.000003	0.010256	0.001991
181	0.001901	0.001706	0.004481	0.003921	0.005312	0.000046	0.000004	0.009672	0.001901
182	0.001819	0.001607	0.004156	0.003645	0.004988	0.000045	0.000003	0.009132	0.001819
183	0.001734	0.001511	0.003860	0.003388	0.004678	0.000045	0.000003	0.008590	0.001734
184	0.001643	0.001417	0.003606	0.003138	0.004394	0.000047	0.000004	0.008079	0.001643
185	0.001567	0.001334	0.003354	0.002907	0.004101	0.000046	0.000003	0.007581	0.001567
186	0.001477	0.001252	0.003150	0.002711	0.003837	0.000046	0.000004	0.007110	0.001477
187	0.001400	0.001176	0.002935	0.002510	0.003585	0.000046	0.000004	0.006643	0.001400
188	0.001322	0.001103	0.002750	0.002334	0.003352	0.000046	0.000004	0.006217	0.001322
189	0.001254	0.001038	0.002572	0.002165	0.003142	0.000045	0.000003	0.005809	0.001254
190	0.001182	0.000971	0.002429	0.002008	0.002935	0.000046	0.000003	0.005438	0.001182
191	0.001112	0.000911	0.002279	0.001876	0.002747	0.000046	0.000004	0.005078	0.001112
192	0.001047	0.000848	0.002144	0.001754	0.002563	0.000046	0.000004	0.004743	0.001047
193	0.000983	0.000798	0.002016	0.001627	0.002408	0.000047	0.000003	0.004428	0.000983
194	0.000929	0.000746	0.001907	0.001524	0.002251	0.000044	0.000004	0.004131	0.000929
195	0.000861	0.000704	0.001794	0.001417	0.002115	0.000045	0.000004	0.003851	0.000861
196	0.000811	0.000658	0.001687	0.001329	0.001980	0.000045	0.000003	0.003606	0.000811
197	0.000762	0.000613	0.001588	0.001245	0.001859	0.000046	0.000003	0.003376	0.000762
198	0.000718	0.000576	0.001490	0.001164	0.001743	0.000045	0.000003	0.003154	0.000718
199	0.000670	0.000542	0.001411	0.001099	0.001635	0.000046	0.000003	0.002959	0.000670
200	0.000628	0.000508	0.001330	0.001033	0.001537	0.000046	0.000004	0.002763	0.000628
201	0.000583	0.000477	0.001253	0.000970	0.001437	0.000046	0.000004	0.002589	0.000583
202	0.000543	0.000446	0.001173	0.000918	0.001354	0.000047	0.000004	0.002423	0.000543
203	0.000504	0.000418	0.001110	0.000858	0.001273	0.000046	0.000003	0.002280	0.000504
204	0.000476	0.000395	0.001043	0.000806	0.001185	0.000046	0.000003	0.002141	0.000476
205	0.000438	0.000365	0.000979	0.000762	0.001113	0.000045	0.000004	0.002022	0.000438
206	0.000407	0.000345	0.000918	0.000716	0.001044	0.000046	0.000004	0.001891	0.000407
207	0.000378	0.000324	0.000867	0.000677	0.000984	0.000046	0.000003	0.001779	0.000378
208	0.000345	0.000304	0.000813	0.000637	0.000926	0.000047	0.000003	0.001674	0.000345
209	0.000325	0.000285	0.000760	0.000599	0.000866	0.000046	0.000003	0.001578	0.000325
210	0.000304	0.000266	0.000713	0.000560	0.000808	0.000046	0.000004	0.001486	0.000304
211	0.000278	0.000247	0.000665	0.000529	0.000762	0.000046	0.000003	0.001396	0.000278
212	0.000258	0.000232	0.000624	0.000497	0.000715	0.000045	0.000003	0.001314	0.000258
213	0.000237	0.000218	0.000587	0.000468	0.000673	0.000046	0.000004	0.001237	0.000237
214	0.000219	0.000205	0.000551	0.000442	0.000627	0.000046	0.000004	0.001167	0.000219
215	0.000200	0.000191	0.000516	0.000416	0.000587	0.000046	0.000003	0.001101	0.000200
216	0.000185	0.000178	0.000482	0.000386	0.000553	0.000045	0.000004	0.001043	0.000185
217	0.000171	0.000165	0.000454	0.000364	0.000516	0.000046	0.000004	0.000975	0.000171
218	0.000155	0.000155	0.000423	0.000341	0.000482	0.000046	0.000004	0.000926	0.000155
219	0.000140	0.000146	0.000397	0.000318	0.000453	0.000047	0.000003	0.000868	0.000140
220	0.000135	0.000135	0.000373	0.000299	0.000424	0.000044	0.000003	0.000819	0.000135
221	0.000120	0.000126	0.000349	0.000283	0.000403	0.000046	0.000003	0.000767	0.000120
222	0.000109	0.000119	0.000327	0.000264	0.000376	0.000046	0.000003	0.000724	0.000109
223	0.000100	0.000110	0.000306	0.000248	0.000347	0.000046	0.000003	0.000688	0.000100
224	0.000089	0.000105	0.000287	0.000234	0.000329	0.000046	0.000003	0.000644	0.000089
225	0.000082	0.000095	0.000270	0.000217	0.000308	0.000046	0.000003	0.000606	0.000082
226	0.000075	0.000090	0.000252	0.000205	0.000290	0.000046	0.000003	0.000570	0.000075
227	0.000068	0.000084	0.000236	0.000190	0.000270	0.000047	0.000003	0.000546	0.000068
228	0.000060	0.000078	0.000219	0.000179	0.000253	0.000045	0.000003	0.000510	0.000060
229	0.000054	0.000073	0.000207	0.000165	0.000237	0.000045	0.000003	0.000480	0.000054
230	0.000050	0.000070	0.000195	0.000155	0.000224	0.000043	0.000003	0.000454	0.000050
231	0.000042	0.000065	0.000180	0.000148	0.000208	0.000047	0.000003	0.000426	0.000042
232	0.000037	0.000059	0.000169	0.000139	0.000195	0.000046	0.000003	0.000405	0.000037
233	0.000033	0.000057	0.000158	0.000128	0.000184	0.000045	0.000003	0.000382	0.000033
234	0.000024	0.000052	0.000147	0.000120	0.000171	0.000047	0.000003	0.000360	0.000024
235	0.000023	0.000048	0.000136	0.000114	0.000161	0.000046	0.000003	0.000338	0.000023
236	0.000017	0.000047	0.000130	0.000105	0.000150	0.000046	0.000002	0.000323	0.000017
237	0.000016	0.000043	0.000119	0.000100	0.000141	0.000043	0.000003	0.000303	0.000016
238	0.000013	0.000041	0.000114	0.000093	0.000134	0.000043	0.000002	0.000289	0.000013
239	0.000009	0.000037	0.000106	0.000086	0.000124	0.000044	0.000002	0.000269	0.000009
240	0.000008	0.000035	0.000099	0.000081	0.000116	0.000042	0.000003	0.000260	0.000008
241	0.000005	0.000032	0.000093	0.000075	0.000106	0.000042	0.000003	0.000246	0.000005
242	0.000005	0.000031	0.000085	0.000071	0.000103	0.000040	0.000003	0.000229	0.000005
243	0.000003	0.000028	0.000081	0.000066	0.000095	0.000038	0.000003	0.000219	0.000003
244	0.000003	0.000028	0.000076	0.000060	0.000092	0.000035	0.000003	0.000210	0.000003
245	0.000003	0.000026	0.000071	0.000057	0.000084	0.000034	0.000002	0.000198	0.000003
246	0.000002	0.000024	0.000066	0.000056	0.000078	0.000033	0.000002	0.000187	0.000002
247	0.000002	0.000022	0.000061	0.000051	0.000072	0.000030	0.000002	0.000180	0.000002
248	0.000002	0.000021	0.000057	0.000047	0.000069	0.000029	0.000002	0.000171	0.000002
249	0.000002	0.000019	0.000054	0.000045	0.000064	0.000026	0.000002	0.000160	0.000002
250	0.000002	0.000018	0.000051	0.000041	0.000058	0.000025	0.000002	0.000157	0.000002
251	0.000003	0.000017	0.000047	0.000038	0.000056	0.000023	0.000002	0.000148	0.000003
252	0.000002	0.000017	0.000043	0.000037	0.000052	0.000022	0.000002	0.000141	0.000002
253	0.000002	0.000015	0.000041	0.000034	0.000050	0.000020	0.000002	0.000134	0.000002
254	0.000002	0.000014	0.000039	0.000032	0.000045	0.000019	0.000002	0.000127	0.000002
255	0.000002	0.000013	0.000036	0.000030	0.000044	0.000018	0.000002	0.000122	0.000002
256	0.000002	0.000013	0.000034	0.000027	0.000039	0.000018	0.000002	0.000118	0.000002
257	0.000002	0.000012	0.000031	0.000027	0.000037	0.000016	0.000002	0.000110	0.000002
258	0.000002	0.000011	0.000029	0.000025	0.000034	0.000014	0.000002	0.000105	0.000002
259	0.000002	0.000011	0.000028	0.000022	0.000032	0.000014	0.000002	0.000101	0.000002
260	0.000002	0.000010	0.000026	0.000021	0.000030	0.000012	0.000002	0.000097	0.000002
